Player,Nationality,Position,Club,Age,Born,90s,No. of players tackled,Tackles won,Tackles (Def 3rd),Tackles (Mid 3rd),Tackles (Att 3rd),No. of dribblers tackled,Dribbles challenged (total),% of dribblers successfully tackled,challenges lost,Blocks,Shots blocked,Passes blocked,Interceptions,Tackles + internceptions,Clearances,Errors
Joël Matip, CMR,DF,Liverpool,30,1991,2.7,8,3,4,4,0,5,6,83.3,1,0,0,0,3,11,3,0
Rabbi Matondo, WAL,"MF,FW",Rangers,21,2000,1.1,1,1,1,0,0,0,1,0.0,1,1,0,1,2,3,0,0
Mykola Matviyenko, UKR,DF,Shakhtar,26,1996,6.0,10,4,9,1,0,6,9,66.7,3,13,4,9,9,19,35,0
Philipp Max, GER,DF,Eint Frankfurt,28,1993,1.3,1,1,0,0,1,1,4,25.0,3,3,0,3,1,2,1,0
Eric Maxim Choupo-Moting, CMR,FW,Bayern Munich,33,1989,4.8,7,4,3,3,1,0,1,0.0,1,6,0,6,1,8,2,0
Noussair Mazraoui, MAR,DF,Bayern Munich,24,1997,4.4,13,9,8,4,1,7,11,63.6,4,3,1,2,3,16,11,0
Kylian Mbappé, FRA,FW,Paris S-G,23,1998,7.2,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,3,0
Chancel Mbemba, COD,DF,Marseille,27,1994,4.5,14,6,10,2,2,5,5,100.0,0,4,1,3,4,18,6,0
James McCarthy, IRL,MF,Celtic,31,1990,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
Allan McGregor, SCO,GK,Rangers,40,1982,5.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0
Callum McGregor, SCO,MF,Celtic,29,1993,2.4,3,1,2,1,0,2,5,40.0,3,2,0,2,5,8,4,0
Weston McKennie, USA,MF,Juventus,23,1998,4.0,6,3,2,2,2,4,7,57.1,3,10,2,8,5,11,3,0
Jon McLaughlin, SCO,GK,Rangers,34,1987,1.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0
Brandon Mechele, BEL,DF,Club Brugge,29,1993,8.0,11,7,6,5,0,3,9,33.3,6,7,5,2,11,22,38,0
Bjorn Meijer, NED,DF,Club Brugge,19,2003,6.4,9,9,5,3,1,4,10,40.0,6,11,4,7,11,20,11,1
Raz Meir, ISR,"DF,MF",Maccabi Haifa,25,1996,0.9,4,3,2,1,1,3,3,100.0,0,1,0,1,0,4,0,0
Arthur Melo, BRA,MF,Liverpool,25,1996,0.2,1,0,1,0,0,1,1,100.0,0,0,0,0,0,1,0,0
Memphis, NED,FW,Barcelona,28,1994,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Sun Menachem, ISR,DF,Maccabi Haifa,28,1993,0.7,3,3,3,0,0,2,3,66.7,1,0,0,0,0,3,2,0
Nuno Mendes, POR,"DF,MF",Paris S-G,20,2002,4.9,11,7,6,4,1,8,18,44.4,10,13,1,12,1,12,7,0
Edouard Mendy, SEN,GK,Chelsea,30,1992,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Ferland Mendy, FRA,DF,Real Madrid,27,1995,3.9,3,2,2,0,1,3,3,100.0,0,1,0,1,3,6,4,0
Alex Meret, ITA,GK,Napoli,25,1997,10.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,1
Lionel Messi, ARG,"FW,MF",Paris S-G,35,1987,6.8,4,4,1,2,1,0,3,0.0,3,3,0,3,3,7,0,0
Junior Messias, BRA,"FW,DF",Milan,31,1991,3.5,8,3,1,2,5,2,6,33.3,4,3,0,3,3,11,1,1
Thomas Meunier, BEL,DF,Dortmund,30,1991,3.9,13,7,8,4,1,7,10,70.0,3,6,1,5,6,19,10,0
Alexander Meyer, GER,GK,Dortmund,31,1991,4.5,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Simon Mignolet, BEL,GK,Club Brugge,34,1988,8.0,0,0,0,0,0,0,0,,0,0,0,0,1,1,5,0
Arkadiusz Milik, POL,FW,Juventus,28,1994,3.8,2,1,0,1,1,1,3,33.3,2,2,0,2,1,3,0,0
Éder Militão, BRA,DF,Real Madrid,24,1998,8.3,10,5,7,3,0,8,13,61.5,5,11,7,4,9,19,37,0
James Milner, ENG,MF,Liverpool,36,1986,2.7,11,9,6,4,1,3,4,75.0,1,5,1,4,2,13,2,0
Kim Min-jae, KOR,DF,Napoli,25,1996,8.7,12,9,11,0,1,6,6,100.0,0,9,8,1,22,34,32,0
Rafa Mir, ESP,"MF,FW",Sevilla,25,1997,1.7,0,0,0,0,0,0,0,,0,1,0,1,0,0,5,0
Fabio Miretti, ITA,"MF,FW",Juventus,18,2003,2.4,3,2,2,1,0,2,2,100.0,0,1,1,0,0,3,0,0
Josip Mišić, CRO,MF,Dinamo Zagreb,28,1994,5.8,11,6,6,5,0,7,11,63.6,4,13,5,8,8,19,8,0
Henrikh Mkhitaryan, ARM,MF,Inter,33,1989,10.1,26,17,15,9,2,12,29,41.4,17,12,2,10,16,42,11,0
Anthony Modeste, FRA,FW,Dortmund,34,1988,3.8,2,0,2,0,0,0,2,0.0,2,5,2,3,0,2,6,0
Luka Modrić, CRO,MF,Real Madrid,36,1985,8.3,4,2,2,1,1,2,5,40.0,3,2,1,1,7,11,7,0
Ali Mohamed, NIG,MF,Maccabi Haifa,26,1995,4.0,11,2,7,2,2,3,11,27.3,8,1,0,1,7,18,3,0
Kudus Mohammed, GHA,FW,Ajax,21,2000,5.0,4,2,1,3,0,2,4,50.0,2,3,0,3,5,9,3,0
Sadegh Moharrami, IRN,"FW,DF",Dinamo Zagreb,26,1996,4.5,9,3,6,1,2,3,6,50.0,3,4,1,3,0,9,2,0
Nahuel Molina, ARG,"DF,MF",Atlético Madrid,24,1998,5.2,7,3,3,1,3,4,9,44.4,5,2,1,1,1,8,4,0
Gonzalo Montiel, ARG,DF,Sevilla,25,1997,2.5,5,5,0,5,0,3,5,60.0,2,2,0,2,4,9,6,1
Aaron Mooy, AUS,MF,Celtic,31,1990,1.7,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,3,0
Álvaro Morata, ESP,FW,Atlético Madrid,29,1992,3.3,0,0,0,0,0,0,0,,0,1,0,1,0,0,3,0
Morato, BRA,DF,Benfica,21,2001,1.2,0,0,0,0,0,0,1,0.0,1,4,3,1,1,1,3,0
Alfredo Morelos, COL,FW,Rangers,26,1996,2.8,1,1,0,1,0,0,3,0.0,3,4,0,4,1,2,3,0
Hidemasa Morita, JPN,MF,Sporting CP,27,1995,3.7,5,1,3,1,1,1,1,100.0,0,3,1,2,2,7,3,0
Jhon Mosquera, COL,"FW,MF",Viktoria Plzeň,32,1990,4.8,12,6,4,6,2,3,4,75.0,1,3,2,1,4,16,8,0
Youssoufa Moukoko, GER,"FW,MF",Dortmund,17,2004,2.7,2,1,1,0,1,0,0,,0,0,0,0,0,2,0,0
Mason Mount, ENG,MF,Chelsea,23,1999,4.9,13,6,4,6,3,5,12,41.7,7,7,1,6,4,17,2,0
Lucas Moura, BRA,"FW,MF",Tottenham,29,1992,1.9,3,2,1,1,1,1,1,100.0,0,2,0,2,0,3,0,0
Mykhailo Mudryk, UKR,"FW,DF",Chelsea,21,2001,1.0,1,1,0,1,0,1,4,25.0,3,0,0,0,1,2,1,0
Mykhailo Mudryk, UKR,MF,Shakhtar,21,2001,5.7,6,1,4,2,0,3,6,50.0,3,2,0,2,0,6,1,0
Paul Mukairu, NGA,FW,FC Copenhagen,22,2000,0.5,2,2,1,1,0,2,2,100.0,0,0,0,0,0,2,0,0
Nordi Mukiele, FRA,"DF,MF",Paris S-G,24,1997,1.2,1,1,0,1,0,1,1,100.0,0,3,1,2,1,2,2,0
Thomas Müller, GER,"MF,FW",Bayern Munich,32,1989,4.1,4,3,1,2,1,1,6,16.7,5,8,2,6,2,6,2,0
Petar Musa, CRO,FW,Benfica,24,1998,1.4,0,0,0,0,0,0,0,,0,3,1,2,1,1,0,0
Jamal Musiala, GER,"MF,FW",Bayern Munich,19,2003,5.9,4,3,1,2,1,0,7,0.0,7,6,0,6,6,10,1,0
Bohdan Mykhaylychenko, UKR,DF,Shakhtar,25,1997,4.0,7,2,5,2,0,5,7,71.4,2,3,0,3,7,14,16,0
Obite N'Dicka, FRA,DF,Eint Frankfurt,22,1999,8.0,13,7,8,5,0,4,11,36.4,7,9,3,6,13,26,28,0
Nacho, ESP,DF,Real Madrid,32,1990,4.9,9,5,5,4,0,4,12,33.3,8,5,4,1,17,26,16,0
Jesús Navas, ESP,"DF,MF",Sevilla,36,1985,2.5,2,1,2,0,0,1,2,50.0,1,5,1,4,5,7,5,0
Flávio Nazinho, POR,"DF,MF",Sporting CP,19,2003,1.3,3,2,3,0,0,0,2,0.0,2,0,0,0,1,4,3,0
Tanguy Ndombele, FRA,MF,Napoli,25,1996,4.1,8,1,4,4,0,3,5,60.0,2,6,1,5,5,13,1,0
David Neres, BRA,"FW,MF",Benfica,25,1997,4.9,11,7,3,5,3,2,6,33.3,4,11,2,9,1,12,1,0
Luís Neto, POR,DF,Sporting CP,34,1988,0.4,1,1,0,1,0,0,0,,0,1,1,0,0,1,2,0
Manuel Neuer, GER,GK,Bayern Munich,36,1986,3.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
João Neves, POR,"FW,MF",Benfica,17,2004,0.3,1,1,0,1,0,0,1,0.0,1,0,0,0,0,1,1,0
Neymar, BRA,"MF,FW",Paris S-G,30,1992,6.0,3,1,1,0,2,2,8,25.0,6,1,0,1,2,5,2,0
Tanguy Nianzou, FRA,DF,Sevilla,20,2002,2.0,2,1,1,1,0,0,1,0.0,1,0,0,0,2,4,5,0
Casper Nielsen, DEN,MF,Club Brugge,28,1994,7.2,19,14,7,9,3,7,15,46.7,8,10,5,5,6,25,8,0
Saúl Ñíguez, ESP,"MF,DF",Atlético Madrid,27,1994,3.1,10,6,3,5,2,5,6,83.3,1,7,0,7,4,14,5,0
Christopher Nkunku, FRA,"MF,FW",RB Leipzig,24,1997,6.2,6,4,3,2,1,0,2,0.0,2,1,0,1,4,10,3,0
Hugo Novoa, ESP,MF,RB Leipzig,19,2003,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Darwin Núñez, URU,FW,Liverpool,23,1999,4.4,3,3,2,1,0,0,1,0.0,1,5,0,5,1,4,1,0
Antonio Nusa, NOR,FW,Club Brugge,17,2005,0.6,0,0,0,0,0,0,0,,0,1,0,1,0,0,2,0
Matt O'Riley, DEN,MF,Celtic,21,2000,5.3,18,7,4,10,4,4,13,30.8,9,9,2,7,11,29,4,0
Jan Oblak, SVN,GK,Atlético Madrid,29,1993,5.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0
Lucas Ocampos, ARG,FW,Ajax,28,1994,0.2,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,1
Oleh Ocheretko, UKR,MF,Shakhtar,19,2003,0.2,2,2,0,1,1,0,1,0.0,1,0,0,0,0,2,0,0
Denis Odoi, GHA,"DF,MF",Club Brugge,34,1988,5.8,11,2,6,4,1,7,9,77.8,2,11,5,6,7,18,18,0
Noah Okafor, SUI,FW,RB Salzburg,22,2000,5.2,4,0,0,3,1,3,4,75.0,1,4,0,4,0,4,0,0
Mathías Olivera, URU,DF,Napoli,24,1997,5.7,16,13,11,5,0,7,11,63.6,4,5,0,5,5,21,14,0
Dani Olmo, ESP,"FW,MF",RB Leipzig,24,1998,0.7,4,2,4,0,0,2,3,66.7,1,0,0,0,0,4,0,0
André Onana, CMR,GK,Inter,26,1996,13.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0
Raphael Onyedika, NGA,MF,Club Brugge,21,2001,6.3,9,5,3,5,1,5,12,41.7,7,7,2,5,6,15,14,0
Willi Orban, HUN,DF,RB Leipzig,29,1992,8.0,9,5,5,2,2,7,10,70.0,3,12,7,5,8,17,26,0
Divock Origi, BEL,FW,Milan,27,1995,1.7,0,0,0,0,0,0,1,0.0,1,2,1,1,0,0,3,0
Mislav Oršić, CRO,FW,Dinamo Zagreb,29,1992,5.4,5,4,1,4,0,2,6,33.3,4,1,0,1,2,7,0,0
Stefan Ortega, GER,GK,Manchester City,29,1992,2.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1
Victor Osimhen, NGA,FW,Napoli,23,1998,4.7,5,2,0,2,3,4,5,80.0,1,0,0,0,1,6,7,0
Nicolás Otamendi, ARG,DF,Benfica,34,1988,8.8,17,11,15,2,0,9,17,52.9,8,15,5,10,15,32,32,0
Otávio, POR,MF,Porto,27,1995,5.8,17,13,8,8,1,6,16,37.5,10,10,0,10,1,18,2,0
Alex Oxlade-Chamberlain, ENG,MF,Liverpool,28,1993,0.2,1,1,0,0,1,1,1,100.0,0,0,0,0,1,2,0,0
Salih Özcan, TUR,MF,Dortmund,24,1998,6.0,8,4,3,5,0,4,15,26.7,11,6,0,6,12,20,7,0
Exequiel Palacios, ARG,MF,Leverkusen,23,1998,1.0,3,1,0,2,1,1,2,50.0,1,4,0,4,1,4,2,1
Cole Palmer, ENG,"MF,FW",Manchester City,20,2002,1.5,1,0,0,1,0,1,1,100.0,0,3,0,3,0,1,0,0
Antonios Papadopoulos, GER,"MF,FW",Dortmund,22,1999,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Leandro Paredes, ARG,MF,Juventus,28,1994,3.9,10,3,6,3,1,6,10,60.0,4,7,4,3,3,13,0,0
Felix Passlack, GER,DF,Dortmund,24,1998,1.0,3,1,1,1,1,2,2,100.0,0,2,0,2,0,3,2,0
Remko Pasveer, NED,GK,Ajax,38,1983,6.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,5,2
Paulinho, POR,FW,Sporting CP,29,1992,2.6,3,2,1,2,0,0,1,0.0,1,2,0,2,0,3,6,0
Paulinho, BRA,FW,Leverkusen,22,2000,0.5,2,2,1,1,0,1,1,100.0,0,0,0,0,0,2,0,0
Benjamin Pavard, FRA,DF,Bayern Munich,26,1996,6.6,12,9,8,3,1,4,8,50.0,4,10,5,5,13,25,20,0
Strahinja Pavlović, SRB,DF,RB Salzburg,21,2001,6.0,17,8,12,5,0,6,8,75.0,2,7,7,0,3,20,29,1
Dimitri Payet, FRA,MF,Marseille,35,1987,0.9,1,1,0,0,1,1,2,50.0,1,0,0,0,1,2,0,0
Pedri, ESP,"MF,FW",Barcelona,19,2002,4.5,7,2,2,5,0,2,8,25.0,6,7,0,7,5,12,1,1
Luca Pellegrini, ITA,"DF,MF",Eint Frankfurt,23,1999,2.2,7,3,1,5,1,4,7,57.1,3,4,0,4,3,10,5,0
Iñaki Peña, ESP,GK,Barcelona,23,1999,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Pepe, POR,DF,Porto,39,1983,4.0,7,4,7,0,0,5,6,83.3,1,3,3,0,6,13,15,0
Pepê, BRA,"DF,FW",Porto,25,1997,7.6,14,9,13,1,0,6,15,40.0,9,5,2,3,5,19,10,0
Danilo Pereira, POR,"DF,MF",Paris S-G,30,1991,5.0,10,7,7,3,0,7,8,87.5,1,3,2,1,6,16,12,0
Dino Perić, CRO,DF,Dinamo Zagreb,28,1994,6.0,8,4,7,1,0,5,5,100.0,0,10,7,3,14,22,54,1
Mattia Perin, ITA,GK,Juventus,29,1992,2.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Ivan Perišić, CRO,"DF,MF",Tottenham,33,1989,6.4,19,7,8,9,2,10,20,50.0,10,8,5,3,4,23,18,1
Luděk Pernica, CZE,DF,Viktoria Plzeň,32,1990,5.5,6,4,5,1,0,5,10,50.0,5,6,4,2,3,9,20,0
Bruno Petković, CRO,FW,Dinamo Zagreb,27,1994,5.4,8,5,2,5,1,3,12,25.0,9,2,0,2,2,10,6,0
Ivan Petryak, UKR,MF,Shakhtar,28,1994,2.0,2,2,0,2,0,0,0,,0,3,0,3,0,2,1,0
Kalvin Phillips, ENG,MF,Manchester City,26,1995,0.5,0,0,0,0,0,0,0,,0,1,0,1,1,1,0,0
Frantzdy Pierrot, HAI,FW,Maccabi Haifa,27,1995,5.3,3,1,1,1,1,0,1,0.0,1,3,1,2,1,4,8,0
Václav Pilař, CZE,"FW,MF",Viktoria Plzeň,33,1988,1.4,2,1,0,1,1,1,3,33.3,2,0,0,0,0,2,1,0
Rodrigo Pinho, BRA,FW,Benfica,31,1991,0.2,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0
Gerard Piqué, ESP,DF,Barcelona,35,1987,2.9,3,2,0,3,0,1,2,50.0,1,3,2,1,3,6,8,0
Tommaso Pobega, ITA,MF,Milan,23,1999,1.8,5,2,1,3,1,2,6,33.3,4,3,0,3,0,5,1,0
Suf Podgoreanu, ISR,DF,Maccabi Haifa,20,2002,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Matteo Politano, ITA,FW,Napoli,28,1993,4.5,9,6,2,5,2,4,5,80.0,1,3,0,3,1,10,6,0
Pedro Porro, ESP,"DF,MF",Sporting CP,22,1999,4.4,14,10,9,3,2,11,14,78.6,3,7,1,6,4,18,12,0
Pedro Porro, ESP,DF,Tottenham,22,1999,0.4,1,0,1,0,0,0,2,0.0,2,2,1,1,0,1,0,0
Yussuf Poulsen, DEN,"FW,MF",RB Leipzig,28,1994,0.8,1,0,0,1,0,1,3,33.3,2,3,0,3,0,1,1,0
Christian Pulisic, USA,"DF,FW",Chelsea,23,1998,1.3,2,1,0,1,1,1,2,50.0,1,2,0,2,2,4,0,0
Adrien Rabiot, FRA,MF,Juventus,27,1995,5.0,16,8,7,7,2,6,8,75.0,2,9,2,7,5,21,3,0
Ivan Rakitić, CRO,MF,Sevilla,34,1988,4.6,9,4,2,4,3,2,8,25.0,6,5,2,3,4,13,3,0
Gonçalo Ramos, POR,FW,Benfica,21,2001,7.9,11,5,0,7,4,0,5,0.0,5,5,1,4,1,12,10,0
Sergio Ramos, ESP,DF,Paris S-G,36,1986,8.0,9,5,3,6,0,7,11,63.6,4,11,6,5,11,20,25,0
Calvin Ramsay, SCO,DF,Liverpool,19,2003,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
Raphinha, BRA,FW,Barcelona,25,1996,3.3,8,7,3,3,2,2,6,33.3,4,4,1,3,4,12,3,0
Giacomo Raspadori, ITA,FW,Napoli,22,2000,2.8,4,3,0,3,1,0,1,0.0,1,1,0,1,2,6,1,0
David Raum, GER,DF,RB Leipzig,24,1998,5.9,13,7,8,4,1,10,22,45.5,12,7,1,6,7,20,15,0
Ante Rebić, CRO,"FW,MF",Milan,28,1993,2.8,7,3,2,3,2,2,6,33.3,4,2,0,2,1,8,0,0
Matheus Reis, BRA,DF,Sporting CP,27,1995,5.7,10,7,5,5,0,6,7,85.7,1,4,2,2,3,13,17,0
Karim Rekik, NED,DF,Sevilla,27,1994,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Devyne Rensch, NED,DF,Ajax,19,2003,3.2,14,9,8,6,0,11,14,78.6,3,4,0,4,4,18,10,0
Marco Reus, GER,"MF,FW",Dortmund,33,1989,2.9,4,2,1,1,2,1,4,25.0,3,4,1,3,3,7,1,0
Gio Reyna, USA,"FW,MF",Dortmund,19,2002,4.3,3,2,0,2,1,1,5,20.0,4,2,0,2,3,6,2,1
Richarlison, BRA,"MF,FW",Tottenham,25,1997,4.1,3,1,1,2,0,3,5,60.0,2,4,2,2,2,5,0,0
Stefan Ristovski, MKD,DF,Dinamo Zagreb,30,1992,4.1,6,2,4,1,1,2,6,33.3,4,7,4,3,6,12,8,0
Mats Rits, BEL,MF,Club Brugge,29,1993,0.2,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,1,0
Sergi Roberto, ESP,DF,Barcelona,30,1992,2.3,5,1,2,3,0,3,4,75.0,1,2,0,2,4,9,1,0
Andrew Robertson, SCO,DF,Liverpool,28,1994,4.2,2,0,1,1,0,1,4,25.0,3,2,0,2,2,4,5,0
Rochinha, POR,"MF,FW",Sporting CP,27,1995,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Sebastian Rode, GER,MF,Eint Frankfurt,31,1990,3.3,11,5,4,7,0,2,7,28.6,5,2,0,2,3,14,2,0
Rodri, ESP,MF,Manchester City,26,1996,11.1,24,15,13,9,2,12,17,70.6,5,11,3,8,13,37,9,1
Rodrygo, BRA,FW,Real Madrid,21,2001,9.1,7,3,3,3,1,3,8,37.5,5,13,4,9,9,16,6,0
Cristian Romero, ARG,DF,Tottenham,24,1998,6.6,14,9,3,10,1,9,17,52.9,8,7,3,4,10,24,12,0
Valentin Rongier, FRA,MF,Marseille,27,1994,5.2,15,6,7,7,1,5,6,83.3,1,3,0,3,8,23,5,0
Tom Rothe, GER,DF,Dortmund,17,2004,0.7,0,0,0,0,0,0,0,,0,4,1,3,1,1,4,0
Amir Rrahmani, KVX,DF,Napoli,28,1994,6.8,9,6,6,2,1,5,9,55.6,4,9,4,5,2,11,27,1
Antonio Rüdiger, GER,DF,Real Madrid,29,1993,7.5,10,6,5,5,0,6,6,100.0,0,7,2,5,6,16,26,0
Daniele Rugani, ITA,DF,Juventus,28,1994,1.0,2,2,0,2,0,1,1,100.0,0,2,1,1,3,5,4,0
Mário Rui, POR,DF,Napoli,31,1991,4.3,6,6,5,0,1,3,9,33.3,6,4,2,2,7,13,4,0
Fabián Ruiz Peña, ESP,MF,Paris S-G,26,1996,2.6,5,1,2,1,2,3,9,33.3,6,3,0,3,1,6,4,0
Nikita Rukavytsya, AUS,"FW,MF",Maccabi Haifa,35,1987,0.5,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,0,0
Mathew Ryan, AUS,GK,FC Copenhagen,30,1992,2.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Julian Ryerson, NOR,DF,Dortmund,24,1997,0.2,0,0,0,0,0,0,0,,0,1,0,1,0,0,4,1
Marcel Sabitzer, AUT,MF,Bayern Munich,28,1994,3.1,10,8,7,2,1,5,7,71.4,2,4,1,3,5,15,3,0
Alexis Saelemaekers, BEL,"FW,DF",Milan,23,1999,4.1,7,4,4,2,1,4,11,36.4,7,3,0,3,4,11,7,0
Fashion Sakala, ZAM,"FW,MF",Rangers,25,1997,2.6,4,3,1,3,0,3,4,75.0,1,1,0,1,2,6,1,0
Mohamed Salah, EGY,FW,Liverpool,30,1992,6.9,3,1,2,1,0,2,5,40.0,3,3,0,3,2,5,1,0
Renato Sanches, POR,MF,Paris S-G,24,1997,1.6,3,0,2,1,0,2,3,66.7,1,3,1,2,1,4,0,0
Alexis Sánchez, CHI,FW,Marseille,33,1988,4.6,7,3,0,6,1,0,0,,0,3,0,3,0,7,0,0
Davinson Sánchez, COL,DF,Tottenham,26,1996,0.2,0,0,0,0,0,0,0,,0,1,1,0,0,0,1,0
Cisse Sandra, BEL,FW,Club Brugge,18,2003,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Alex Sandro, BRA,DF,Juventus,31,1991,2.7,3,2,2,1,0,0,0,,0,2,0,2,5,8,6,0
James Sands, USA,"DF,MF",Rangers,22,2000,3.6,5,3,1,4,0,1,1,100.0,0,2,1,1,4,9,9,0
Leroy Sané, GER,"FW,MF",Bayern Munich,26,1996,6.1,10,7,0,5,5,4,9,44.4,5,4,0,4,6,16,0,0
Nuno Santos, POR,"DF,MF",Sporting CP,27,1995,3.3,7,5,7,0,0,6,7,85.7,1,4,1,3,2,9,8,0
Zaidu Sanusi, NGA,DF,Porto,25,1997,6.5,13,9,8,4,1,6,9,66.7,3,6,1,5,11,24,20,0
Alvaro Sanz, ESP,MF,Barcelona,21,2001,0.2,0,0,0,0,0,0,0,,0,1,1,0,0,0,0,0
Pablo Sarabia, ESP,MF,Paris S-G,30,1992,1.0,1,1,1,0,0,1,1,100.0,0,1,0,1,0,1,0,0
Stefan Savić, MNE,DF,Atlético Madrid,31,1991,3.0,3,1,2,0,1,2,3,66.7,1,1,0,1,2,5,7,0
Patrik Schick, CZE,FW,Leverkusen,26,1996,5.0,2,2,0,1,1,0,2,0.0,2,3,0,3,1,3,3,0
Andreas Schjelderup, NOR,FW,Benfica,18,2004,0.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0
Xaver Schlager, AUT,MF,RB Leipzig,24,1997,6.5,11,7,4,7,0,7,12,58.3,5,12,3,9,5,16,2,1
Nico Schlotterbeck, GER,DF,Dortmund,22,1999,6.2,10,8,6,4,0,4,7,57.1,3,5,3,2,3,13,16,1
Abdoulaye Seck, SEN,DF,Maccabi Haifa,30,1992,4.4,7,7,6,0,1,5,7,71.4,2,9,5,4,4,11,18,0
Nicolas Seiwald, AUT,MF,RB Salzburg,21,2001,6.0,19,14,13,5,1,9,15,60.0,6,14,3,11,8,27,5,0
Benjamin Šeško, SVN,FW,RB Salzburg,19,2003,3.7,3,1,0,1,2,1,1,100.0,0,4,1,3,0,3,2,0
Ryan Sessegnon, ENG,"MF,DF",Tottenham,22,2000,1.7,9,7,4,3,2,2,4,50.0,2,1,0,1,2,11,8,1
Maryan Shved, UKR,MF,Shakhtar,25,1997,2.1,6,2,4,2,0,3,7,42.9,4,4,0,4,4,10,2,0
Danylo Sikan, UKR,FW,Shakhtar,21,2001,1.2,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,2,0
André Silva, POR,FW,RB Leipzig,26,1995,5.9,6,3,2,1,3,3,4,75.0,1,7,0,7,1,7,1,0
António Silva, POR,DF,Benfica,18,2003,9.9,11,7,9,2,0,7,11,63.6,4,13,4,9,14,25,34,0
Bernardo Silva, POR,"FW,MF",Manchester City,27,1994,10.1,19,10,4,8,7,10,32,31.3,22,11,0,11,9,28,5,0
Rafa Silva, POR,MF,Benfica,29,1993,9.1,11,5,2,5,4,7,14,50.0,7,7,1,6,1,12,0,0
Thiago Silva, BRA,DF,Chelsea,37,1984,7.1,8,6,6,1,1,3,4,75.0,1,8,6,2,9,17,32,0
Mohamed Simakan, FRA,DF,RB Leipzig,22,2000,5.7,16,9,5,9,2,10,17,58.8,7,2,0,2,12,28,7,0
Giovanni Simeone, ARG,FW,Napoli,27,1995,2.9,3,2,0,2,1,1,2,50.0,1,3,0,3,0,3,2,0
Roko Simic, CRO,FW,RB Salzburg,18,2003,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Oliver Skipp, ENG,MF,Tottenham,21,2000,2.3,8,4,2,6,0,4,9,44.4,5,4,0,4,2,10,4,0
Leo Skiri Østigård, NOR,DF,Napoli,22,1999,2.2,3,2,1,2,0,1,2,50.0,1,4,1,3,2,5,13,0
Andreas Skov Olsen, DEN,"FW,MF",Club Brugge,22,1999,3.3,4,2,1,2,1,2,3,66.7,1,2,0,2,0,4,3,0
Milan Škriniar, SVK,DF,Inter,27,1995,6.0,9,6,7,2,0,4,5,80.0,1,11,9,2,4,13,24,0
Hrvoje Smolčić, CRO,DF,Eint Frankfurt,21,2000,1.4,1,1,1,0,0,0,0,,0,2,0,2,5,6,12,0
Eduard Sobol, UKR,"FW,DF",Club Brugge,27,1995,1.2,3,1,3,0,0,2,3,66.7,1,1,0,1,2,5,3,0
Carlos Soler, ESP,MF,Paris S-G,25,1997,1.7,4,4,2,0,2,1,2,50.0,1,1,0,1,3,7,1,0
Oumar Solet, FRA,DF,RB Salzburg,22,2000,3.0,5,4,3,1,1,2,2,100.0,0,7,3,4,3,8,13,0
Yann Sommer, SUI,GK,Bayern Munich,33,1988,4.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,6,1
Matìas Soulé, ARG,"MF,FW",Juventus,19,2003,0.5,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0
Djibril Sow, SUI,MF,Eint Frankfurt,25,1997,8.0,14,8,4,8,2,7,12,58.3,5,10,1,9,18,32,3,0
